# q                 I(q)             
  1.00000e-03       9.99581e-01      
  2.25063e-03       9.97880e-01      
  3.50125e-03       9.94878e-01      
  4.75188e-03       9.90587e-01      
  6.00251e-03       9.85024e-01      
  7.25313e-03       9.78214e-01      
  8.50376e-03       9.70182e-01      
  9.75439e-03       9.60963e-01      
  1.10050e-02       9.50594e-01      
  1.22556e-02       9.39116e-01      
  1.35063e-02       9.26575e-01      
  1.47569e-02       9.13020e-01      
  1.60075e-02       8.98506e-01      
  1.72581e-02       8.83088e-01      
  1.85088e-02       8.66824e-01      
  1.97594e-02       8.49778e-01      
  2.10100e-02       8.32012e-01      
  2.22607e-02       8.13591e-01      
  2.35113e-02       7.94582e-01      
  2.47619e-02       7.75052e-01      
  2.60125e-02       7.55068e-01      
  2.72632e-02       7.34700e-01      
  2.85138e-02       7.14014e-01      
  2.97644e-02       6.93078e-01      
  3.10150e-02       6.71957e-01      
  3.22657e-02       6.50715e-01      
  3.35163e-02       6.29416e-01      
  3.47669e-02       6.08121e-01      
  3.60175e-02       5.86888e-01      
  3.72682e-02       5.65772e-01      
  3.85188e-02       5.44828e-01      
  3.97694e-02       5.24106e-01      
  4.10201e-02       5.03653e-01      
  4.22707e-02       4.83512e-01      
  4.35213e-02       4.63724e-01      
  4.47719e-02       4.44326e-01      
  4.60226e-02       4.25351e-01      
  4.72732e-02       4.06829e-01      
  4.85238e-02       3.88785e-01      
  4.97744e-02       3.71243e-01      
  5.10251e-02       3.54221e-01      
  5.22757e-02       3.37734e-01      
  5.35263e-02       3.21794e-01      
  5.47769e-02       3.06410e-01      
  5.60276e-02       2.91588e-01      
  5.72782e-02       2.77328e-01      
  5.85288e-02       2.63632e-01      
  5.97794e-02       2.50496e-01      
  6.10301e-02       2.37914e-01      
  6.22807e-02       2.25878e-01      
  6.35313e-02       2.14378e-01      
  6.47820e-02       2.03403e-01      
  6.60326e-02       1.92939e-01      
  6.72832e-02       1.82971e-01      
  6.85338e-02       1.73483e-01      
  6.97845e-02       1.64457e-01      
  7.10351e-02       1.55876e-01      
  7.22857e-02       1.47721e-01      
  7.35363e-02       1.39973e-01      
  7.47870e-02       1.32613e-01      
  7.60376e-02       1.25622e-01      
  7.72882e-02       1.18980e-01      
  7.85388e-02       1.12669e-01      
  7.97895e-02       1.06671e-01      
  8.10401e-02       1.00967e-01      
  8.22907e-02       9.55397e-02      
  8.35414e-02       9.03733e-02      
  8.47920e-02       8.54518e-02      
  8.60426e-02       8.07601e-02      
