# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  4.79885e-01  1.45159e-02 
  2.25063e-03  4.63210e-01  9.66775e-03 
  3.50125e-03  4.59891e-01  7.73953e-03 
  4.75188e-03  4.77492e-01  6.62919e-03 
  6.00251e-03  4.63460e-01  5.88181e-03 
  7.25313e-03  4.70194e-01  5.33232e-03 
  8.50376e-03  4.53630e-01  4.90448e-03 
  9.75439e-03  4.48156e-01  4.55761e-03 
  1.10050e-02  4.46513e-01  4.26775e-03 
  1.22556e-02  4.41531e-01  4.01979e-03 
  1.35063e-02  4.30352e-01  3.80366e-03 
  1.47569e-02  4.28122e-01  3.61236e-03 
  1.60075e-02  4.21051e-01  3.44086e-03 
  1.72581e-02  4.15192e-01  3.28546e-03 
  1.85088e-02  4.12018e-01  3.14335e-03 
  1.97594e-02  4.01316e-01  3.01238e-03 
  2.10100e-02  3.97530e-01  2.89085e-03 
  2.22607e-02  3.81060e-01  2.77741e-03 
  2.35113e-02  3.75339e-01  2.67098e-03 
  2.47619e-02  3.67925e-01  2.57070e-03 
  2.60125e-02  3.56400e-01  2.47582e-03 
  2.72632e-02  3.44930e-01  2.38577e-03 
  2.85138e-02  3.37204e-01  2.30003e-03 
  2.97644e-02  3.27810e-01  2.21819e-03 
  3.10150e-02  3.14260e-01  2.13991e-03 
  3.22657e-02  3.08882e-01  2.06487e-03 
  3.35163e-02  2.96395e-01  1.99283e-03 
  3.47669e-02  2.90224e-01  1.92356e-03 
  3.60175e-02  2.75670e-01  1.85688e-03 
  3.72682e-02  2.67173e-01  1.79263e-03 
  3.85188e-02  2.57609e-01  1.73066e-03 
  3.97694e-02  2.46871e-01  1.67085e-03 
  4.10201e-02  2.36313e-01  1.61310e-03 
  4.22707e-02  2.27590e-01  1.55731e-03 
  4.35213e-02  2.19570e-01  1.50340e-03 
  4.47719e-02  2.08876e-01  1.45128e-03 
  4.60226e-02  2.01254e-01  1.40091e-03 
  4.72732e-02  1.91587e-01  1.35222e-03 
  4.85238e-02  1.82704e-01  1.30514e-03 
  4.97744e-02  1.75309e-01  1.25965e-03 
  5.10251e-02  1.68861e-01  1.21568e-03 
  5.22757e-02  1.58763e-01  1.17320e-03 
  5.35263e-02  1.52109e-01  1.13217e-03 
  5.47769e-02  1.45123e-01  1.09255e-03 
  5.60276e-02  1.37810e-01  1.05430e-03 
  5.72782e-02  1.29597e-01  1.01739e-03 
  5.85288e-02  1.25582e-01  9.81787e-04 
  5.97794e-02  1.17643e-01  9.47454e-04 
  6.10301e-02  1.13071e-01  9.14359e-04 
  6.22807e-02  1.05977e-01  8.82467e-04 
  6.35313e-02  1.02344e-01  8.51745e-04 
  6.47820e-02  9.68952e-02  8.22159e-04 
  6.60326e-02  9.13856e-02  7.93674e-04 
  6.72832e-02  8.68193e-02  7.66257e-04 
  6.85338e-02  8.10579e-02  7.39871e-04 
  6.97845e-02  7.71817e-02  7.14480e-04 
  7.10351e-02  7.37089e-02  6.90049e-04 
  7.22857e-02  6.88820e-02  6.66541e-04 
  7.35363e-02  6.59775e-02  6.43919e-04 
  7.47870e-02  6.22494e-02  6.22145e-04 
  7.60376e-02  5.88667e-02  6.01184e-04 
  7.72882e-02  5.57748e-02  5.80997e-04 
  7.85388e-02  5.34749e-02  5.61547e-04 
  7.97895e-02  5.04685e-02  5.42799e-04 
  8.10401e-02  4.78299e-02  5.24716e-04 
  8.22907e-02  4.43436e-02  5.07264e-04 
  8.35414e-02  4.24269e-02  4.90407e-04 
  8.47920e-02  4.03220e-02  4.74112e-04 
  8.60426e-02  3.82266e-02  4.58348e-04 
  8.72932e-02  3.59596e-02  4.43084e-04 
  8.85439e-02  3.38596e-02  4.28291e-04 
  8.97945e-02  3.24804e-02  4.13941e-04 
  9.10451e-02  2.98816e-02  4.00008e-04 
  9.22957e-02  2.89385e-02  3.86469e-04 
  9.35464e-02  2.62574e-02  3.73301e-04 
  9.47970e-02  2.52499e-02  3.60484e-04 
  9.60476e-02  2.37223e-02  3.48001e-04 
  9.72982e-02  2.26668e-02  3.35834e-04 
